Mes;Clientes;Precio_por_cliente_COP;Ingresos_COP;Costo_Vercel_COP;Costo_BD_COP;Costo_DNS_Monitoreo_COP;Costo_Backups_COP;Costo_Otros_COP;Costo_Total_COP;Utilidad_Bruta_COP;Infra_sobre_ingresos_pct;Notas
Enero;3;100000;300000;0;0;0;0;0;0;300000;0;
Febrero;3;100000;300000;0;0;0;0;0;0;300000;0;
Marzo;9;100000;900000;0;0;0;0;0;0;900000;0;
Abril;10;100000;1000000;80000;100000;20000;20000;10000;230000;770000;0,23;
Mayo;10;100000;1000000;80000;100000;20000;20000;10000;230000;770000;0,23;
Junio;12;100000;1200000;80000;120000;20000;30000;20000;270000;930000;0,225;
Julio;15;100000;1500000;80000;120000;20000;30000;30000;280000;1220000;0,186666667;
Agosto;18;100000;1800000;80000;120000;20000;30000;30000;280000;1520000;0,155555556;
Septiembre;20;100000;2000000;80000;150000;25000;30000;30000;315000;1685000;0,1575;
Octubre;22;100000;2200000;80000;150000;25000;30000;40000;325000;1875000;0,147727273;
Noviembre;25;100000;2500000;80000;150000;25000;30000;40000;325000;2175000;0,13;
Diciembre;30;100000;3000000;80000;200000;30000;40000;50000;400000; $2.600.000 ;0,133333333;
TOTAL_ANUAL;;;17700000;;;;;;2655000; $15.045.000 ;0,15;
PROMEDIO_MENSUAL;;;1475000;;;;;;221250; $1.253.750 ;0,15;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;116666,6667;;;;;;;;